Genes	monophyletic_group_code	Species
HmN_000477600, HmN_002000500	F24821_HYM_G1	H. microstoma
HmN_000965400, HmN_002051400, HmN_002051500, HmN_000966100	F24879_HYM_G1	H. microstoma
HmN_002173100, HmN_002174500	F24885_HYM_G1	H. microstoma
HNAJ_0000394701, HNAJ_0001181401	F65_HYN_G1	H. nana
HNAJ_0000661501, HNAJ_0001106001	F101_HYN_G1	H. nana
HNAJ_0000188401, HNAJ_0000278601	F167_HYN_G1	H. nana
HNAJ_0001079601, HNAJ_0000285901, HNAJ_0000270101, HNAJ_0000688601, HNAJ_0001079401, HNAJ_0001079701	F222_HYN_G1	H. nana
HNAJ_0000969601, HNAJ_0001028301	F277_HYN_G1	H. nana
HNAJ_0001341501, HNAJ_0001223601, HNAJ_0001223701	F286_HYN_G1	H. nana
HNAJ_0000610201, HNAJ_0000695601	F297_HYN_G1	H. nana
HNAJ_0000343801, HNAJ_0000995101	F298_HYN_G1	H. nana
HNAJ_0000665901, HNAJ_0000942301, HNAJ_0001313401, HNAJ_0000105601, HNAJ_0000495201, HNAJ_0000608901, HNAJ_0001313201, HNAJ_0001362001	F303_HYN_G1	H. nana
HNAJ_0000728501, HNAJ_0001333301	F326_HYN_G1	H. nana
HNAJ_0000179401, HNAJ_0000814701, HNAJ_0001303001	F351_HYN_G1	H. nana
HNAJ_0001054401, HNAJ_0001370101	F352_HYN_G1	H. nana
HNAJ_0001054801, HNAJ_0000658901, HNAJ_0000671401, HNAJ_0001080601	F356_HYN_G1	H. nana
HNAJ_0000666401, HNAJ_0000712801	F362_HYN_G1	H. nana
HNAJ_0000477601, HNAJ_0001047501, HNAJ_0001247301	F372_HYN_G1	H. nana
HNAJ_0000995201, HNAJ_0000999601, HNAJ_0001218401	F408_HYN_G1	H. nana
HNAJ_0000150101, HNAJ_0000397801	F410_HYN_G1	H. nana
HNAJ_0001305701, HNAJ_0001117401, HNAJ_0000740701, HNAJ_0000418101, HNAJ_0001339401, HNAJ_0000927701	F419_HYN_G1	H. nana
HNAJ_0001080501, HNAJ_0000926801, HNAJ_0001345701	F482_HYN_G1	H. nana
HNAJ_0000369501, HNAJ_0000679801, HNAJ_0000701901	F484_HYN_G1	H. nana
HNAJ_0001302301, HNAJ_0000698101, HNAJ_0001219501, HNAJ_0001222501	F495_HYN_G1	H. nana
HNAJ_0001368001, HNAJ_0000562901, HNAJ_0001203801, HNAJ_0001216501, HNAJ_0001031801, HNAJ_0000237901	F505_HYN_G1	H. nana
HNAJ_0001098201, HNAJ_0000493201, HNAJ_0001285901	F560_HYN_G1	H. nana
HNAJ_0000184901, HNAJ_0000214301	F568_HYN_G1	H. nana
HNAJ_0001343501, HNAJ_0000043001, HNAJ_0000180301, HNAJ_0000284601	F625_HYN_G1	H. nana
HNAJ_0001080701, HNAJ_0001319601, HNAJ_0001343901	F626_HYN_G1	H. nana
HNAJ_0001147601, HNAJ_0000286401, HNAJ_0001376201, HNAJ_0001045101, HNAJ_0001240201, HNAJ_0001022701, HNAJ_0001278901, HNAJ_0000482001, HNAJ_0001111701, HNAJ_0000691601, HNAJ_0000693501, HNAJ_0000944301, HNAJ_0000927601, HNAJ_0001231001, HNAJ_0000206801, HNAJ_0000170101, HNAJ_0001281101, HNAJ_0000579101, HNAJ_0001175901, HNAJ_0001341301, HNAJ_0000562301, HNAJ_0000925201, HNAJ_0000853201, HNAJ_0000364901	F719_HYN_G1	H. nana
HNAJ_0000331701, HNAJ_0000659801	F730_HYN_G1	H. nana
HNAJ_0000576901, HNAJ_0000684701, HNAJ_0000687901	F744_HYN_G1	H. nana
HNAJ_0000327301, HNAJ_0001277901, HNAJ_0000997401, HNAJ_0001325201	F790_HYN_G1	H. nana
HNAJ_0000035101, HNAJ_0001361601, HNAJ_0001230101, HNAJ_0000760401, HNAJ_0000529001, HNAJ_0000571201, HNAJ_0000670101	F809_HYN_G1	H. nana
HNAJ_0000035801, HNAJ_0000035901	F810_HYN_G1	H. nana
HNAJ_0000046101, HNAJ_0000605401, HNAJ_0000161101, HNAJ_0000472801	F811_HYN_G1	H. nana
HNAJ_0000050701, HNAJ_0000687501	F812_HYN_G1	H. nana
HNAJ_0000058901, HNAJ_0000911701, HNAJ_0000288401, HNAJ_0000546701, HNAJ_0001305401, HNAJ_0001124401	F814_HYN_G1	H. nana
HNAJ_0000487301, HNAJ_0000656101, HNAJ_0000201001, HNAJ_0000702501, HNAJ_0000072401	F816_HYN_G1	H. nana
HNAJ_0000087301, HNAJ_0000634601	F818_HYN_G1	H. nana
HNAJ_0001290701, HNAJ_0000090201, HNAJ_0000397901, HNAJ_0000870401, HNAJ_0000154701, HNAJ_0000870601, HNAJ_0000136601	F820_HYN_G1	H. nana
HNAJ_0001363701, HNAJ_0000103901	F822_HYN_G1	H. nana
HNAJ_0000104101, HNAJ_0001154601, HNAJ_0000403201	F823_HYN_G1	H. nana
HNAJ_0000104501, HNAJ_0001241901, HNAJ_0001039101	F824_HYN_G1	H. nana
HNAJ_0000649801, HNAJ_0000105501	F825_HYN_G1	H. nana
HNAJ_0000680301, HNAJ_0000107201	F827_HYN_G1	H. nana
HNAJ_0000107601, HNAJ_0000107301	F828_HYN_G1	H. nana
HNAJ_0000107501, HNAJ_0000575701, HNAJ_0000232901	F829_HYN_G1	H. nana
HNAJ_0000134201, HNAJ_0000133901	F833_HYN_G1	H. nana
HNAJ_0000136301, HNAJ_0000136401	F834_HYN_G1	H. nana
HNAJ_0001212901, HNAJ_0000143601	F836_HYN_G1	H. nana
HNAJ_0000948501, HNAJ_0000147701	F839_HYN_G1	H. nana
HNAJ_0000148401, HNAJ_0000929001	F840_HYN_G1	H. nana
HNAJ_0001267501, HNAJ_0000158601	F841_HYN_G1	H. nana
HNAJ_0000161201, HNAJ_0000309801, HNAJ_0000559001	F842_HYN_G1	H. nana
HNAJ_0000161401, HNAJ_0000642101	F843_HYN_G1	H. nana
HNAJ_0000163501, HNAJ_0001349501	F844_HYN_G1	H. nana
HNAJ_0000623901, HNAJ_0000170001, HNAJ_0000412301	F845_HYN_G1	H. nana
HNAJ_0000338301, HNAJ_0000178401, HNAJ_0000891801, HNAJ_0001359301, HNAJ_0000687701, HNAJ_0001221901, HNAJ_0000670701, HNAJ_0000179901, HNAJ_0000706501, HNAJ_0000570201	F847_HYN_G1	H. nana
HNAJ_0000362601, HNAJ_0001219201, HNAJ_0000304601, HNAJ_0000179801, HNAJ_0001264301, HNAJ_0000488101, HNAJ_0000486501, HNAJ_0000538801, HNAJ_0001330501	F849_HYN_G1	H. nana
HNAJ_0000184601, HNAJ_0001368501, HNAJ_0000668701, HNAJ_0001296401	F850_HYN_G1	H. nana
HNAJ_0000188901, HNAJ_0000197101	F851_HYN_G1	H. nana
HNAJ_0001256801, HNAJ_0001272001, HNAJ_0001085401, HNAJ_0001252701, HNAJ_0000550701, HNAJ_0000597301, HNAJ_0001166901, HNAJ_0000622601, HNAJ_0001262901, HNAJ_0000386801, HNAJ_0000541901, HNAJ_0001356101, HNAJ_0001335901, HNAJ_0001213001, HNAJ_0001366701, HNAJ_0000873501, HNAJ_0001262201, HNAJ_0001040201, HNAJ_0001174001, HNAJ_0000752701, HNAJ_0000199601, HNAJ_0001049901, HNAJ_0001357801	F853_HYN_G1	H. nana
HNAJ_0000532501, HNAJ_0000206201	F855_HYN_G1	H. nana
HNAJ_0000211901, HNAJ_0000915101	F856_HYN_G1	H. nana
HNAJ_0000220901, HNAJ_0000700001	F857_HYN_G1	H. nana
HNAJ_0000293301, HNAJ_0001111001, HNAJ_0000223701, HNAJ_0001339001, HNAJ_0000655801	F858_HYN_G1	H. nana
HNAJ_0000445001, HNAJ_0000686101, HNAJ_0001245701, HNAJ_0000711601, HNAJ_0000226201, HNAJ_0000429501, HNAJ_0001377801	F859_HYN_G1	H. nana
HNAJ_0000518101, HNAJ_0000229001	F860_HYN_G1	H. nana
HNAJ_0000242401, HNAJ_0000242301	F862_HYN_G1	H. nana
HNAJ_0000253701, HNAJ_0001280901	F865_HYN_G1	H. nana
HNAJ_0000655201, HNAJ_0000255101	F866_HYN_G1	H. nana
HNAJ_0000621001, HNAJ_0000621101, HNAJ_0001190101, HNAJ_0000454701, HNAJ_0000545201, HNAJ_0000601301, HNAJ_0000265801	F867_HYN_G1	H. nana
HNAJ_0000265901, HNAJ_0001190201	F868_HYN_G1	H. nana
HNAJ_0000266901, HNAJ_0000677001	F869_HYN_G1	H. nana
HNAJ_0000532801, HNAJ_0001225701, HNAJ_0001300801, HNAJ_0000931501, HNAJ_0000271701, HNAJ_0000819701, HNAJ_0000703601, HNAJ_0001372101, HNAJ_0000563101	F870_HYN_G1	H. nana
HNAJ_0001079501, HNAJ_0000286001	F872_HYN_G1	H. nana
HNAJ_0001221001, HNAJ_0001308401, HNAJ_0001088001, HNAJ_0001354401, HNAJ_0000288901, HNAJ_0001332601, HNAJ_0000813101, HNAJ_0000640601, HNAJ_0001140501, HNAJ_0001379601	F873_HYN_G1	H. nana
HNAJ_0000298901, HNAJ_0000705701	F874_HYN_G1	H. nana
HNAJ_0000299901, HNAJ_0000820901	F875_HYN_G1	H. nana
HNAJ_0000398401, HNAJ_0000582701, HNAJ_0000662901, HNAJ_0000300001	F876_HYN_G1	H. nana
HNAJ_0000814601, HNAJ_0000300601, HNAJ_0001161201, HNAJ_0000536001, HNAJ_0001176801, HNAJ_0000791301, HNAJ_0001207701	F877_HYN_G1	H. nana
HNAJ_0000308201, HNAJ_0001334201	F878_HYN_G1	H. nana
HNAJ_0000415801, HNAJ_0000330101	F880_HYN_G1	H. nana
HNAJ_0001197501, HNAJ_0000407601, HNAJ_0000662301, HNAJ_0000331601, HNAJ_0000535801, HNAJ_0000618501, HNAJ_0001377101, HNAJ_0001332201, HNAJ_0001076901, HNAJ_0000508901, HNAJ_0000594401, HNAJ_0000464701, HNAJ_0001210901, HNAJ_0000593301	F881_HYN_G1	H. nana
HNAJ_0000407701, HNAJ_0000557001, HNAJ_0000341701	F882_HYN_G1	H. nana
HNAJ_0000371601, HNAJ_0001373201	F884_HYN_G1	H. nana
HNAJ_0000374701, HNAJ_0001120301	F886_HYN_G1	H. nana
HNAJ_0000385401, HNAJ_0001190001	F887_HYN_G1	H. nana
HNAJ_0000690701, HNAJ_0000392301	F888_HYN_G1	H. nana
HNAJ_0001348701, HNAJ_0000394501, HNAJ_0001253701	F889_HYN_G1	H. nana
HNAJ_0000395101, HNAJ_0000961401	F890_HYN_G1	H. nana
HNAJ_0001095101, HNAJ_0000713701, HNAJ_0000657101, HNAJ_0000396001	F891_HYN_G1	H. nana
HNAJ_0000396601, HNAJ_0000627901	F892_HYN_G1	H. nana
HNAJ_0000406101, HNAJ_0001363501, HNAJ_0000539001, HNAJ_0000725601, HNAJ_0001119301	F893_HYN_G1	H. nana
HNAJ_0001249201, HNAJ_0000407401	F895_HYN_G1	H. nana
HNAJ_0001347201, HNAJ_0000473901, HNAJ_0000409501	F896_HYN_G1	H. nana
HNAJ_0000413101, HNAJ_0001339801	F899_HYN_G1	H. nana
HNAJ_0000414501, HNAJ_0001333801	F901_HYN_G1	H. nana
HNAJ_0000415101, HNAJ_0001219901	F902_HYN_G1	H. nana
HNAJ_0000416301, HNAJ_0000779401	F903_HYN_G1	H. nana
HNAJ_0001148201, HNAJ_0000422001	F904_HYN_G1	H. nana
HNAJ_0001351801, HNAJ_0000542001, HNAJ_0000617101, HNAJ_0001363301, HNAJ_0001360201, HNAJ_0000946601, HNAJ_0000893701, HNAJ_0000433501	F907_HYN_G1	H. nana
HNAJ_0000436801, HNAJ_0001271801, HNAJ_0000540101, HNAJ_0000447001	F908_HYN_G1	H. nana
HNAJ_0000582801, HNAJ_0000884801, HNAJ_0000437801	F909_HYN_G1	H. nana
HNAJ_0000449801, HNAJ_0000714101	F911_HYN_G1	H. nana
HNAJ_0000453601, HNAJ_0000494701, HNAJ_0000639001	F912_HYN_G1	H. nana
HNAJ_0000694401, HNAJ_0000458901	F913_HYN_G1	H. nana
HNAJ_0000596201, HNAJ_0000472901	F915_HYN_G1	H. nana
HNAJ_0000474001, HNAJ_0000634901	F916_HYN_G1	H. nana
HNAJ_0001316501, HNAJ_0000478201	F918_HYN_G1	H. nana
HNAJ_0000570501, HNAJ_0000511701, HNAJ_0000495301, HNAJ_0000483401	F919_HYN_G1	H. nana
HNAJ_0000665001, HNAJ_0000642901, HNAJ_0000488901	F920_HYN_G1	H. nana
HNAJ_0000889901, HNAJ_0000889801, HNAJ_0000491501	F921_HYN_G1	H. nana
HNAJ_0000695801, HNAJ_0000492201	F922_HYN_G1	H. nana
HNAJ_0000845801, HNAJ_0000493901	F923_HYN_G1	H. nana
HNAJ_0000506401, HNAJ_0000494901	F924_HYN_G1	H. nana
HNAJ_0001201201, HNAJ_0000735101, HNAJ_0001121001, HNAJ_0000500201, HNAJ_0001351201, HNAJ_0001343201, HNAJ_0001308501, HNAJ_0000574101, HNAJ_0000633701, HNAJ_0000570101	F926_HYN_G1	H. nana
HNAJ_0000710601, HNAJ_0000503701	F927_HYN_G1	H. nana
HNAJ_0000513801, HNAJ_0000513901	F931_HYN_G1	H. nana
HNAJ_0000516001, HNAJ_0000684401, HNAJ_0000934801	F933_HYN_G1	H. nana
HNAJ_0000959901, HNAJ_0000517001	F934_HYN_G1	H. nana
HNAJ_0000518501, HNAJ_0000547601	F935_HYN_G1	H. nana
HNAJ_0000518901, HNAJ_0000920901	F936_HYN_G1	H. nana
HNAJ_0000519901, HNAJ_0000695701, HNAJ_0001202601, HNAJ_0000628801, HNAJ_0001323001	F937_HYN_G1	H. nana
HNAJ_0000520101, HNAJ_0001351901	F938_HYN_G1	H. nana
HNAJ_0000529901, HNAJ_0000520701, HNAJ_0000555201	F939_HYN_G1	H. nana
HNAJ_0000662001, HNAJ_0001275301, HNAJ_0001299301, HNAJ_0001372001, HNAJ_0000520901, HNAJ_0001329601	F940_HYN_G1	H. nana
HNAJ_0000704201, HNAJ_0001119401, HNAJ_0000533701	F941_HYN_G1	H. nana
HNAJ_0001363401, HNAJ_0000543101, HNAJ_0001059001, HNAJ_0000713301	F943_HYN_G1	H. nana
HNAJ_0000544701, HNAJ_0000558401	F944_HYN_G1	H. nana
HNAJ_0001312601, HNAJ_0000545101	F945_HYN_G1	H. nana
HNAJ_0000551101, HNAJ_0000560101	F948_HYN_G1	H. nana
HNAJ_0000665601, HNAJ_0000552701	F949_HYN_G1	H. nana
HNAJ_0000556601, HNAJ_0001295701	F950_HYN_G1	H. nana
HNAJ_0000562401, HNAJ_0001291001	F951_HYN_G1	H. nana
HNAJ_0000568201, HNAJ_0000568301	F952_HYN_G1	H. nana
HNAJ_0000643301, HNAJ_0000570601	F953_HYN_G1	H. nana
HNAJ_0001118401, HNAJ_0000573001	F954_HYN_G1	H. nana
HNAJ_0000614801, HNAJ_0000573401	F955_HYN_G1	H. nana
HNAJ_0000579201, HNAJ_0000661701, HNAJ_0001368701, HNAJ_0001331701	F956_HYN_G1	H. nana
HNAJ_0000856801, HNAJ_0000579301	F957_HYN_G1	H. nana
HNAJ_0000580801, HNAJ_0000666901	F958_HYN_G1	H. nana
HNAJ_0001016101, HNAJ_0000586801	F959_HYN_G1	H. nana
HNAJ_0001191701, HNAJ_0000604001	F961_HYN_G1	H. nana
HNAJ_0000607201, HNAJ_0001123701, HNAJ_0001329201, HNAJ_0001361401, HNAJ_0000703901	F962_HYN_G1	H. nana
HNAJ_0000608001, HNAJ_0001322301	F963_HYN_G1	H. nana
HNAJ_0000653201, HNAJ_0000608201, HNAJ_0000652801	F964_HYN_G1	H. nana
HNAJ_0000613201, HNAJ_0001144101	F966_HYN_G1	H. nana
HNAJ_0001369501, HNAJ_0000615801	F967_HYN_G1	H. nana
HNAJ_0001207901, HNAJ_0000623701	F969_HYN_G1	H. nana
HNAJ_0001118501, HNAJ_0000630501	F971_HYN_G1	H. nana
HNAJ_0001089101, HNAJ_0000662201, HNAJ_0001377001, HNAJ_0000630901	F972_HYN_G1	H. nana
HNAJ_0000953601, HNAJ_0000635801	F973_HYN_G1	H. nana
HNAJ_0001274101, HNAJ_0000636201, HNAJ_0001187501	F974_HYN_G1	H. nana
HNAJ_0000638901, HNAJ_0001247401	F976_HYN_G1	H. nana
HNAJ_0001322501, HNAJ_0000648201	F977_HYN_G1	H. nana
HNAJ_0000772401, HNAJ_0000648501	F978_HYN_G1	H. nana
HNAJ_0001238801, HNAJ_0000654601	F979_HYN_G1	H. nana
HNAJ_0000655701, HNAJ_0000674001, HNAJ_0001360501, HNAJ_0001059601	F980_HYN_G1	H. nana
HNAJ_0000700601, HNAJ_0000659701	F982_HYN_G1	H. nana
HNAJ_0001272201, HNAJ_0000659901	F983_HYN_G1	H. nana
HNAJ_0000664201, HNAJ_0000674601	F986_HYN_G1	H. nana
HNAJ_0001321701, HNAJ_0000666001	F988_HYN_G1	H. nana
HNAJ_0000667801, HNAJ_0000953701, HNAJ_0000672201	F989_HYN_G1	H. nana
HNAJ_0000706301, HNAJ_0000670501	F990_HYN_G1	H. nana
HNAJ_0000701501, HNAJ_0001298701, HNAJ_0000674301, HNAJ_0001110801	F992_HYN_G1	H. nana
HNAJ_0000676201, HNAJ_0000678001	F993_HYN_G1	H. nana
HNAJ_0000806401, HNAJ_0000683801, HNAJ_0001294601	F995_HYN_G1	H. nana
HNAJ_0001374101, HNAJ_0000686801	F996_HYN_G1	H. nana
HNAJ_0001370401, HNAJ_0000688001	F997_HYN_G1	H. nana
HNAJ_0000711901, HNAJ_0000699601, HNAJ_0000699701	F1000_HYN_G1	H. nana
HNAJ_0000704601, HNAJ_0001151301	F1001_HYN_G1	H. nana
HNAJ_0000706201, HNAJ_0001024901, HNAJ_0001367601	F1003_HYN_G1	H. nana
HNAJ_0000706401, HNAJ_0001249601	F1004_HYN_G1	H. nana
HNAJ_0001311001, HNAJ_0000707001	F1005_HYN_G1	H. nana
HNAJ_0000709301, HNAJ_0000713201	F1006_HYN_G1	H. nana
HNAJ_0000712001, HNAJ_0000962101, HNAJ_0001280801	F1008_HYN_G1	H. nana
HNAJ_0000712401, HNAJ_0001307901	F1009_HYN_G1	H. nana
HNAJ_0000712701, HNAJ_0001257201	F1010_HYN_G1	H. nana
HNAJ_0000713801, HNAJ_0001286101	F1011_HYN_G1	H. nana
HNAJ_0001360701, HNAJ_0000714401	F1012_HYN_G1	H. nana
HNAJ_0001367001, HNAJ_0000723101	F1014_HYN_G1	H. nana
HNAJ_0000791701, HNAJ_0000920401, HNAJ_0000725301, HNAJ_0001064201, HNAJ_0001118701	F1015_HYN_G1	H. nana
HNAJ_0000787601, HNAJ_0000787201	F1020_HYN_G1	H. nana
HNAJ_0001031401, HNAJ_0001154701, HNAJ_0001197001, HNAJ_0001164001, HNAJ_0001082101, HNAJ_0000845001, HNAJ_0000852801, HNAJ_0001346701, HNAJ_0000870501, HNAJ_0001029001, HNAJ_0001039501, HNAJ_0000978001, HNAJ_0000839101, HNAJ_0000798401, HNAJ_0001055601, HNAJ_0001016401	F1023_HYN_G1	H. nana
HNAJ_0000838201, HNAJ_0000979101	F1025_HYN_G1	H. nana
HNAJ_0001083301, HNAJ_0000845201, HNAJ_0001217801	F1027_HYN_G1	H. nana
HNAJ_0000935201, HNAJ_0000934701	F1035_HYN_G1	H. nana
HNAJ_0000935101, HNAJ_0001208101, HNAJ_0001221501	F1036_HYN_G1	H. nana
HNAJ_0001197401, HNAJ_0000948601, HNAJ_0001292401	F1037_HYN_G1	H. nana
HNAJ_0001220301, HNAJ_0000955101	F1040_HYN_G1	H. nana
HNAJ_0000958701, HNAJ_0001156201	F1041_HYN_G1	H. nana
HNAJ_0001112101, HNAJ_0001006801	F1043_HYN_G1	H. nana
HNAJ_0001010701, HNAJ_0001161401	F1044_HYN_G1	H. nana
HNAJ_0001076101, HNAJ_0001229401	F1047_HYN_G1	H. nana
HNAJ_0001076501, HNAJ_0001076401	F1048_HYN_G1	H. nana
HNAJ_0001098101, HNAJ_0001285801	F1049_HYN_G1	H. nana
HNAJ_0001144201, HNAJ_0001227001	F1052_HYN_G1	H. nana
HNAJ_0001150601, HNAJ_0001297501	F1054_HYN_G1	H. nana
HNAJ_0001165001, HNAJ_0001164901	F1055_HYN_G1	H. nana
HNAJ_0001327101, HNAJ_0001166201	F1056_HYN_G1	H. nana
HNAJ_0001257901, HNAJ_0001173401	F1057_HYN_G1	H. nana
HNAJ_0001207801, HNAJ_0001367501	F1059_HYN_G1	H. nana
HNAJ_0001338701, HNAJ_0001226201	F1061_HYN_G1	H. nana
HNAJ_0001314401, HNAJ_0001261601	F1065_HYN_G1	H. nana
HNAJ_0001295401, HNAJ_0001380001	F1068_HYN_G1	H. nana
HNAJ_0001351501, HNAJ_0001297301	F1069_HYN_G1	H. nana
HNAJ_0001299801, HNAJ_0001375601	F1070_HYN_G1	H. nana
HNAJ_0001333101, HNAJ_0001365401	F1072_HYN_G1	H. nana
HNAJ_0001365501, HNAJ_0001333201	F1073_HYN_G1	H. nana
HNAJ_0000495401, HNAJ_0001300301	F2254_HYN_G1	H. nana
HNAJ_0000587501, HNAJ_0001370201	F5207_HYN_G1	H. nana
HNAJ_0000159401, HNAJ_0000670901	F8606_HYN_G1	H. nana
HNAJ_0000274301, HNAJ_0001226901	F12724_HYN_G1	H. nana
HNAJ_0000202301, HNAJ_0001224401	F14648_HYN_G1	H. nana
HNAJ_0001151201, HNAJ_0001328401	F14654_HYN_G1	H. nana
HNAJ_0000516401, HNAJ_0000469501, HNAJ_0000494801	F14689_HYN_G1	H. nana
HNAJ_0001149201, HNAJ_0001110701, HNAJ_0000429701	F15101_HYN_G1	H. nana
HNAJ_0000486301, HNAJ_0001315501	F15329_HYN_G1	H. nana
HNAJ_0000639201, HNAJ_0000206001, HNAJ_0000463201	F15372_HYN_G1	H. nana
HNAJ_0000023101, HNAJ_0000244001	F15456_HYN_G1	H. nana
HNAJ_0000006901, HNAJ_0001290001	F15467_HYN_G1	H. nana
HNAJ_0000133801, HNAJ_0000134101	F15516_HYN_G1	H. nana
HNAJ_0000517401, HNAJ_0001080901, HNAJ_0001336101	F15771_HYN_G1	H. nana
HNAJ_0000831801, HNAJ_0001215301	F15793_HYN_G1	H. nana
HNAJ_0001052901, HNAJ_0000486101	F15797_HYN_G1	H. nana
HNAJ_0000202601, HNAJ_0001224001	F16867_HYN_G1	H. nana
HNAJ_0000275801, HNAJ_0001259101	F18216_HYN_G1	H. nana
HNAJ_0000643001, HNAJ_0000664901	F21556_HYN_G1	H. nana
HNAJ_0000331001, HNAJ_0000225101, HNAJ_0001218101	F22436_HYN_G1	H. nana
HNAJ_0001010601, HNAJ_0001010901	F22664_HYN_G1	H. nana
HNAJ_0000202501, HNAJ_0001224101	F23218_HYN_G1	H. nana
HNAJ_0000691101, HNAJ_0001213301	F23246_HYN_G1	H. nana
HNAJ_0000632601, HNAJ_0000645001	F23250_HYN_G1	H. nana
HNAJ_0000537201, HNAJ_0000609101	F23324_HYN_G1	H. nana
HNAJ_0001350601, HNAJ_0001147701	F23400_HYN_G1	H. nana
HNAJ_0000667401, HNAJ_0001147801	F23400_HYN_G2	H. nana
HNAJ_0000243901, HNAJ_0000023001	F23478_HYN_G1	H. nana
HNAJ_0000454801, HNAJ_0000505301	F23499_HYN_G1	H. nana
HNAJ_0000328701, HNAJ_0000401701	F23543_HYN_G1	H. nana
HNAJ_0000330001, HNAJ_0000503801, HNAJ_0000552201	F23723_HYN_G1	H. nana
HNAJ_0000208401, HNAJ_0000289101	F23867_HYN_G1	H. nana
HNAJ_0000189101, HNAJ_0000972901	F23913_HYN_G1	H. nana
HNAJ_0000503101, HNAJ_0000654401	F24034_HYN_G1	H. nana
HNAJ_0000930901, HNAJ_0001140101	F24064_HYN_G1	H. nana
HNAJ_0000981501, HNAJ_0001145001	F24084_HYN_G1	H. nana
HNAJ_0000302401, HNAJ_0000564201	F24307_HYN_G1	H. nana
HNAJ_0001242501, HNAJ_0000891901, HNAJ_0000891701	F24320_HYN_G1	H. nana
HNAJ_0000945601, HNAJ_0000807501	F24326_HYN_G1	H. nana
HNAJ_0000256501, HNAJ_0001335101	F24608_HYN_G1	H. nana
HNAJ_0000304501, HNAJ_0000546901	F24626_HYN_G1	H. nana
HNAJ_0000000501, HNAJ_0000437301	F24636_HYN_G1	H. nana
HNAJ_0000202401, HNAJ_0001224201	F24637_HYN_G1	H. nana
HNAJ_0001260201, HNAJ_0000368001	F24657_HYN_G1	H. nana
HNAJ_0000554101, HNAJ_0001115001	F24717_HYN_G1	H. nana
HNAJ_0000309001, HNAJ_0000362001	F24719_HYN_G1	H. nana
HNAJ_0000626801, HNAJ_0001313301, HNAJ_0000345601	F24754_HYN_G1	H. nana
HNAJ_0000629201, HNAJ_0000698901	F24810_HYN_G1	H. nana
HNAJ_0000205901, HNAJ_0000687601	F24813_HYN_G1	H. nana
MCOS_0000356501, MCOS_0000687101	F76_MSC_G1	M. corti
MCOS_0000794401, MCOS_0000794501	F205_MSC_G1	M. corti
MCOS_0000408301, MCOS_0001005001, MCOS_0000446501, MCOS_0001035001	F239_MSC_G1	M. corti
MCOS_0000793901, MCOS_0000836201	F274_MSC_G1	M. corti
MCOS_0000118401, MCOS_0000950601, MCOS_0000950501, MCOS_0001009901, MCOS_0000733901, MCOS_0000950701, MCOS_0000296201, MCOS_0000431701, MCOS_0001001701	F319_MSC_G1	M. corti
MCOS_0000426601, MCOS_0000483001	F347_MSC_G1	M. corti
MCOS_0001053101, MCOS_0000448001, MCOS_0000656201	F350_MSC_G1	M. corti
MCOS_0000425601, MCOS_0000412301, MCOS_0000462101	F381_MSC_G1	M. corti
MCOS_0000284301, MCOS_0000321401, MCOS_0000485101	F574_MSC_G1	M. corti
MCOS_0000471401, MCOS_0000484801	F727_MSC_G1	M. corti
MCOS_0000181401, MCOS_0000429001	F991_MSC_G1	M. corti
MCOS_0000374301, MCOS_0000380201	F8694_MSC_G1	M. corti
MCOS_0000902301, MCOS_0000118501	F12574_MSC_G1	M. corti
MCOS_0000122501, MCOS_0001003501, MCOS_0001003401	F12575_MSC_G1	M. corti
MCOS_0000146601, MCOS_0000486501	F12577_MSC_G1	M. corti
MCOS_0000350801, MCOS_0000148501	F12578_MSC_G1	M. corti
MCOS_0000981101, MCOS_0000156501, MCOS_0000981201	F12579_MSC_G1	M. corti
MCOS_0000971601, MCOS_0000371801, MCOS_0000681801, MCOS_0000448301, MCOS_0000188001, MCOS_0000270201, MCOS_0000474601, MCOS_0001019501, MCOS_0000156901, MCOS_0000871201, MCOS_0000493501, MCOS_0000789601	F12580_MSC_G1	M. corti
MCOS_0000166901, MCOS_0001034701	F12582_MSC_G1	M. corti
MCOS_0000584301, MCOS_0000173901	F12584_MSC_G1	M. corti
MCOS_0000381101, MCOS_0000198101	F12587_MSC_G1	M. corti
MCOS_0000850801, MCOS_0000888101, MCOS_0001033201, MCOS_0000275901, MCOS_0000200501, MCOS_0000999101	F12588_MSC_G1	M. corti
MCOS_0000721601, MCOS_0000218701	F12591_MSC_G1	M. corti
MCOS_0000223701, MCOS_0000223601, MCOS_0000934001, MCOS_0000489701, MCOS_0000861401	F12593_MSC_G1	M. corti
MCOS_0000226501, MCOS_0001013701	F12594_MSC_G1	M. corti
MCOS_0000398601, MCOS_0001036901, MCOS_0000368301, MCOS_0000473601, MCOS_0000234201	F12595_MSC_G1	M. corti
MCOS_0001023701, MCOS_0000235401, MCOS_0000235301, MCOS_0000793701	F12596_MSC_G1	M. corti
MCOS_0000998401, MCOS_0000236101	F12597_MSC_G1	M. corti
MCOS_0000262901, MCOS_0000403201	F12599_MSC_G1	M. corti
MCOS_0000872901, MCOS_0000796701, MCOS_0000276001	F12600_MSC_G1	M. corti
